feature,importance,importance_pct
host_temperature_c,0.12767545851668904,12.8
seed_group,0.08087520415595169,8.1
feature_flag_7,0.036246623314412,3.6
voltage_v,0.035813599831669075,3.6
memory_alloc_mb,0.032558105877525355,3.3
thread_pool_size,0.025620272825286408,2.6
memory_pressure_pct,0.012525585009018429,1.3
rand_var_6,0.01198857756592845,1.2
rand_var_18,0.011742276601125262,1.2
rand_var_33,0.011728558811928674,1.2
cpu_load_pct,0.011562528362033477,1.2
rand_var_5,0.011525295908017407,1.2
rand_var_12,0.011475597907291506,1.1
rand_var_28,0.011462502252192657,1.1
rand_var_24,0.011448130872735725,1.1
rand_var_29,0.011278710551529514,1.1
rand_var_22,0.011265714086583962,1.1
rand_var_42,0.011184677699651802,1.1
rand_var_43,0.011131130675152636,1.1
rand_var_19,0.011066891267208265,1.1
rand_var_1,0.01095648872215881,1.1
rand_var_45,0.010879547358667198,1.1
rand_var_21,0.010864183400127887,1.1
rand_var_7,0.010856265628437842,1.1
rand_var_20,0.010843550710889119,1.1
rand_var_41,0.01076047388920296,1.1
rand_var_32,0.010746246263628531,1.1
rand_var_39,0.010693166004981576,1.1
rand_var_8,0.010664226719580196,1.1
rand_var_38,0.010664222025920139,1.1
timing_variation_ms,0.010639539434807855,1.1
rand_var_14,0.010628742673905728,1.1
rand_var_34,0.010600033619901118,1.1
rand_var_35,0.010570853919044623,1.1
rand_var_17,0.010474216741416019,1.0
rand_var_4,0.010472206496978316,1.0
rand_var_10,0.010449642394388187,1.0
rand_var_9,0.010446333639550477,1.0
rand_var_40,0.010353095883825403,1.0
rand_var_15,0.010350255846544597,1.0
rand_var_25,0.010324319636338633,1.0
ambient_humidity_pct,0.010321027625301548,1.0
rand_var_13,0.010302281135842807,1.0
jitter_ms,0.010209113944371361,1.0
rand_var_2,0.010202216472655845,1.0
rand_var_44,0.010173704953404021,1.0
rand_var_11,0.010171406704797402,1.0
rand_var_30,0.010166536268224327,1.0
rand_var_16,0.010125786582035216,1.0
rand_var_37,0.010065574129856815,1.0
rand_var_31,0.010018715251405378,1.0
rand_var_36,0.010016392528921527,1.0
rand_var_23,0.009723127768894073,1.0
rand_var_26,0.0097133406944414,1.0
env_perturbation_level,0.009510930090264784,1.0
